league,market,strategy,ml_model,recommendation,strat_pct,strat_edge,strat_min_odds,roi,n_bets
E0,HOME,VOLUME,LogisticRegression,PAPER_TRADE,70,-0.03,1.7,29.97,79
G1,DRAW,LONGSHOT,ExtraTrees,DEPLOY,90,-0.02,2.8,41.68,117
I1,DRAW,MAX_VOLUME,RandomForest,DEPLOY,65,-0.04,2.5,17.69,523
RUS,AWAY,BALANCED,RandomForest,PAPER_TRADE,78,-0.02,2.2,60.15,26
SP2,DRAW,MODERATE_HIGH,ExtraTrees,DEPLOY,85,0.0,2.8,36.92,106
I2,DRAW,SELECTIVE,RandomForest,DEPLOY,88,-0.01,3.0,26.74,191
E0,AWAY,STANDARD_HIGH,LogisticRegression,MONITOR,82,0.0,2.2,45.36,11
RUS,HOME,MAX_VOLUME,RandomForest,MONITOR,65,-0.04,1.6,11.1,156
NOR,AWAY,VALUE,LogisticRegression,PAPER_TRADE,80,-0.02,2.5,61.56,25
SC0,HOME,FAVORITE,LogisticRegression,PAPER_TRADE,75,0.0,1.8,61.92,12
IRL,HOME,MAX_VOLUME,RandomForest,PAPER_TRADE,65,-0.04,1.6,25.41,68
